medicine_id,name,batch,expiry,quantity
MED1,Paracetamol,B1,2026-08-08,62
MED2,Paracetamol,B2,2026-08-04,2
MED3,Paracetamol,B3,2026-08-02,69
MED4,Paracetamol,B4,2026-09-23,145
MED5,Paracetamol,B5,2026-10-07,80
MED6,Paracetamol,B6,2026-11-04,18
MED7,Paracetamol,B7,2026-04-16,138
MED8,Paracetamol,B8,2026-02-26,80
MED9,Paracetamol,B9,2026-04-05,91
MED10,Paracetamol,B10,2026-07-27,40
MED11,Paracetamol,B11,2026-08-07,13
MED12,Paracetamol,B12,2026-08-15,198
MED13,Paracetamol,B13,2026-04-20,108
MED15,Paracetamol,B15,2026-05-29,22
MED16,Paracetamol,B16,2026-10-15,150
MED17,Paracetamol,B17,2025-09-30,141
MED18,Paracetamol,B18,2026-11-15,141
MED19,Paracetamol,B19,2025-12-21,194
MED20,Paracetamol,B20,2026-03-07,135
MED21,Paracetamol,B21,2025-12-16,126
MED22,Paracetamol,B22,2025-07-24,33
MED23,Paracetamol,B23,2026-06-22,70
MED24,Paracetamol,B24,2026-06-02,77
MED25,Paracetamol,B25,2026-03-24,100
MED26,Paracetamol,B26,2026-07-10,11
MED27,Paracetamol,B27,2025-07-29,159
MED28,Paracetamol,B28,2025-08-25,102
MED29,Paracetamol,B29,2026-05-05,164
MED30,Paracetamol,B30,2026-07-04,47
MED31,Paracetamol,B31,2026-04-28,185
MED32,Paracetamol,B32,2026-07-14,182
MED33,Paracetamol,B33,2026-09-05,128
MED35,Paracetamol,B35,2026-10-21,168
MED36,Paracetamol,B36,2026-05-16,192
MED37,Paracetamol,B37,2025-10-01,171
MED38,Paracetamol,B38,2025-12-27,23
MED39,Paracetamol,B39,2026-11-06,25
MED40,Paracetamol,B40,2026-10-03,134
MED41,Paracetamol,B41,2026-08-13,72
MED42,Paracetamol,B42,2025-08-25,133
MED43,Paracetamol,B43,2025-09-06,200
MED44,Paracetamol,B44,2026-07-20,191
MED45,Paracetamol,B45,2026-02-20,177
MED46,Paracetamol,B46,2026-08-03,142
MED47,Paracetamol,B47,2026-03-19,174
MED48,Paracetamol,B48,2025-07-07,22
MED49,Paracetamol,B49,2026-04-13,199
MED51,Paracetamol,B1,2026-09-24,171
MED52,Paracetamol,B2,2026-09-14,10
MED54,Paracetamol,B4,2026-09-12,54
MED55,Paracetamol,B5,2025-07-09,149
MED56,Paracetamol,B6,2026-03-20,13
MED57,Paracetamol,B7,2025-12-08,178
MED59,Paracetamol,B9,2026-01-16,69
MED60,Paracetamol,B10,2026-02-09,145
