medicine_id,name,unit,price
M00001,Medicine_1,box,16674
M00002,Medicine_2,box,37283
M00003,Medicine_3,box,48174
M00004,Medicine_4,box,84728
M00005,Medicine_5,box,60502
M00006,Medicine_6,,91982
M00007,Medicine_7,box,68169
M00008,Medicine_8,box,25832
M00009,Medicine_9,box,90902
M00010,Medicine_10,box,75848
M00011,Medicine_11,box,23099
M00012,Medicine_12,box,16795
M00013,Medicine_13,box,42216
M00014,Medicine_14,box,85883
M00015,Medicine_15,box,51681
M00016,Medicine_16,box,90184
M00017,Medicine_17,box,36450
M00018,Medicine_18,box,43537
M00019,Medicine_19,box,72461
M00020,Medicine_20,box,11260
M00021,Medicine_21,box,10399
M00022,Medicine_22,box,54901
M00023,Medicine_23,box,81120
M00024,Medicine_24,box,86979
M00025,Medicine_25,box,61337
M00026,Medicine_26,box,45414
M00027,Medicine_27,box,10176
M00028,Medicine_28,box,24429
M00029,Medicine_29,box,19871
M00030,Medicine_30,box,84276
M00031,Medicine_31,box,58899
M00032,Medicine_32,box,27706
M00033,Medicine_33,box,23536
M00034,Medicine_34,box,14368
M00035,Medicine_35,box,42626
M00036,Medicine_36,box,45278
M00037,Medicine_37,box,66638
M00038,Medicine_38,box,62688
M00039,Medicine_39,box,57031
M00040,Medicine_40,box,36749
M00041,Medicine_41,box,29100
M00042,Medicine_42,box,72552
M00043,Medicine_43,box,59214
M00044,Medicine_44,box,-5000
M00045,Medicine_45,box,31744
M00046,Medicine_46,box,94337
M00047,Medicine_47,box,85175
M00048,Medicine_48,box,45325
M00049,Medicine_49,box,44193
M00050,Medicine_50,box,43717
M00051,Medicine_51,box,20274
M00052,Medicine_52,box,31345
M00053,Medicine_53,box,76569
M00054,Medicine_54,box,53632
M00055,Medicine_55,box,49697
M00056,Medicine_56,box,89274
M00057,Medicine_57,box,10307
M00058,Medicine_58,box,71057
M00059,Medicine_59,box,50201
M00060,Medicine_60,box,15093
M00061,Medicine_61,box,13485
M00062,,box,65942
M00063,Medicine_63,box,90720
M00064,Medicine_64,box,48756
M00065,Medicine_65,box,70151
M00066,Medicine_66,box,20403
M00067,Medicine_67,box,-5000
M00068,Medicine_68,box,15931
M00069,Medicine_69,box,52930
M00070,Medicine_70,box,88091
M00071,Medicine_71,box,72514
M00072,Medicine_72,box,57357
M00073,Medicine_73,box,95314
M00074,Medicine_74,box,51701
M00075,Medicine_75,box,abc
M00076,Medicine_76,box,59507
M00077,Medicine_77,box,abc
M00078,Medicine_78,box,42248
M00079,Medicine_79,box,95075
M00080,Medicine_80,box,14676
M00081,Medicine_81,box,93128
M00082,Medicine_82,box,47598
M00083,Medicine_83,box,97105
M00084,Medicine_84,box,90062
M00085,Medicine_85,box,43279
M00086,Medicine_86,box,23172
M00087,Medicine_87,box,12863
M00088,Medicine_88,box,32939
M00089,Medicine_89,box,44845
M00090,Medicine_90,box,27416
M00091,Medicine_91,box,24243
M00092,Medicine_92,box,82556
M00093,Medicine_93,box,88704
M00094,Medicine_94,box,28633
M00095,Medicine_95,box,52531
M00096,,box,41506
M00097,Medicine_97,box,22486
M00098,Medicine_98,box,-5000
M00099,Medicine_99,box,97848
M00100,Medicine_100,box,98158
M00101,Medicine_101,box,57203
M00102,Medicine_102,box,49631
M00103,Medicine_103,box,55532
M00104,Medicine_104,box,62712
M00105,Medicine_105,box,91000
M00106,Medicine_106,box,63182
M00107,Medicine_107,box,18683
M00108,Medicine_108,box,83733
M00109,Medicine_109,box,35116
M00110,Medicine_110,box,30047
M00111,,box,24549
M00112,Medicine_112,box,-5000
M00113,Medicine_113,box,82343
M00114,Medicine_114,box,70364
M00115,Medicine_115,box,67258
M00116,Medicine_116,box,82849
M00117,Medicine_117,box,85729
M00118,Medicine_118,box,86065
M00119,Medicine_119,box,88892
M00120,Medicine_120,box,38136
M00121,Medicine_121,box,41447
M00122,Medicine_122,box,11628
M00123,Medicine_123,box,18656
M00124,Medicine_124,box,95106
M00125,Medicine_125,box,86134
M00126,Medicine_126,box,28573
M00127,Medicine_127,box,12317
M00128,Medicine_128,box,65186
M00129,Medicine_129,box,34653
M00130,Medicine_130,box,79271
M00131,Medicine_131,box,23002
M00132,Medicine_132,box,69738
M00133,Medicine_133,box,abc
M00134,Medicine_134,box,60717
M00135,Medicine_135,box,57412
M00136,Medicine_136,box,52366
M00137,Medicine_137,box,84030
M00138,Medicine_138,box,16981
M00139,Medicine_139,box,76805
M00140,Medicine_140,box,19399
M00141,Medicine_141,box,43745
M00142,Medicine_142,box,64808
M00143,Medicine_143,box,74669
M00144,Medicine_144,box,19373
M00145,Medicine_145,box,65390
M00146,Medicine_146,box,39663
M00147,Medicine_147,box,40269
M00148,Medicine_148,box,21676
M00149,Medicine_149,box,57376
M00150,Medicine_150,box,15175
